Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
77;4;20.9500007629;32.75;20;30.711841464;9;40.4000015259;80.5127029419;22;103.203590155;
78;4;20.9500007629;32.75;20;30.7577478886;10;42.8960876465;80.2773590088;23;103.873250484;
79;4;20.9500007629;32.75;23;30.8048160076;10;40.8960876465;84.4107894897;24;104.541046381;
80;4;20.9500007629;32.75;23;30.8530313969;10;40.4000015259;88.5543823242;26;105.227858782;
81;4;20.9500007629;32.75;24;30.9023760557;10;41.4000015259;89.7081298828;26;105.932041645;
82;4;20.9500007629;32.75;24;30.9528282881;10;40.4000015259;93.8718338013;27;106.651627183;
83;4;20.9500007629;32.75;25;31.0043625832;10;41.4000015259;95.0450973511;27;107.384310603;
84;5;20.9500007629;32.75;23;42.5569496155;11;41.4000015259;96.2273101807;27;109.127441406;
85;5;22.9500007629;31.75;22;44.0466948748;11;41.4000015259;102.38470459;28;109.96803534;
86;5;22.6628131866;32.75;22;45.3610794544;11;42.4000015259;107.661056519;30;110.819917679;
87;5;23.6865787506;32.345123291;23;46.5150216818;11;42.4000015259;112.945510864;31;111.679914832;
88;5;24.7088394165;32.5549659729;24;47.5252274275;11;48.3679885864;118.163902283;30;112.544645905;
89;5;25.1657218933;32.7190628052;24;48.2163014412;11;52.6370315552;119.483055115;30;113.410600901;
90;5;25.1990509033;33.0;24;48.7175784111;11;53.5410614014;123.803947449;32;115.274234414;
91;7;26.2000007629;35.0;22;50.1706643105;11;55.6274223328;129.124053955;35;116.342064023;
92;7;27.2000007629;37.0;22;50.6625725031;11;57.5132102966;134.440917969;35;117.44232738;
93;7;25.2000007629;34.0;22;48.6914197206;12;58.7307167053;136.752075195;27;120.901177049;
94;7;23.3999996185;37.0;22;49.0116026402;13;58.8579025269;143.055328369;28;122.187935472;
