Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
132;18;114.074638367;187.400360107;51;152.703874588;17;68.9130020142;171.505310059;20;155.280539036;
133;17;114.11114502;185.400360107;51;152.541410446;18;70.1280593872;172.67276001;16;157.374125719;
134;17;114.119689941;185.400360107;51;154.301034689;18;70.3374099731;173.84588623;15;160.403366804;
135;17;112.144119263;185.400360107;51;155.854164124;18;70.5403442383;179.024261475;17;162.416607976;
136;17;111.220062256;189.400360107;53;157.227967262;18;72.7361602783;183.207580566;17;164.29801631;
137;17;112.282829285;189.116699219;52;159.138753176;18;74.0190505981;183.395385742;19;166.015821099;
138;17;115.742172241;189.400360107;51;158.645180702;19;72.2015838623;189.587188721;19;167.670955658;
139;17;113.826271057;191.400360107;51;158.237905025;19;77.3225784302;187.66885376;22;169.258268118;
140;17;111.996322632;191.785430908;56;157.907393694;19;78.5258331299;187.751678467;22;170.774055481;
141;20;111.06577301;190.785430908;46;157.645020366;18;78.677406311;193.835479736;23;172.098721504;
142;20;107.407051086;191.785430908;48;157.4429878;18;83.7847366333;190.920074463;24;173.332615137;
143;20;107.476028442;198.785430908;46;157.294260025;18;84.933265686;191.005218506;18;174.511341691;
144;20;108.545295715;202.785430908;47;159.155158639;18;85.0511398315;198.090789795;19;175.63380444;
145;20;107.66179657;204.785430908;49;160.794432163;18;90.1421585083;195.176513672;20;176.699965477;
146;20;106.747558594;208.785430908;50;162.239924192;18;91.2699966431;195.262237549;21;178.636328697;
147;20;107.878684998;207.785430908;50;164.340218544;18;92.3636398315;202.347686768;23;179.599697351;
148;20;107.978660583;213.785430908;50;166.118182778;18;97.4499740601;200.43270874;23;180.528443575;
149;20;110.059387207;220.601486206;50;166.498199224;18;100.632995605;196.517089844;24;181.424680948;
150;20;113.250656128;220.698623657;50;168.267104864;19;99.7424697876;201.600616455;23;182.201456428;
151;20;111.583023071;226.837539673;50;169.741030693;19;101.820144653;206.683074951;23;182.902178288;
152;21;114.809738159;231.983947754;50;171.214886069;19;103.890220642;208.83770752;24;183.597054839;
153;21;117.036323547;233.137878418;50;172.684009671;19;103.959709167;209.013153076;26;184.285848856;
154;21;118.262321472;238.299285889;51;174.144254208;19;104.028587341;222.83770752;23;184.968441248;
