Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
82;10;30.1120834351;52.8698272705;13;63.9517248869;8;28.2999992371;38.9690628052;13;62.0973572731;
83;10;30.5324382782;56.9155807495;14;64.9241307974;8;28.2999992371;38.9690628052;13;63.8073029518;
84;10;31.9845104218;59.7278251648;14;65.8260314465;8;28.2999992371;39.0;14;64.4972968102;
85;10;32.0245056152;62.797290802;15;66.6687918901;8;27.2999992371;42.0;14;65.2192544937;
86;11;32.4569358826;65.0;14;67.3644979;8;26.2999992371;45.0;16;65.9655754566;
87;10;30.1042137146;62.5919265747;14;65.8508574963;10;26.2999992371;48.0;13;68.6333233118;
88;10;30.1438865662;64.638999939;15;66.2397625446;10;25.2999992371;53.0;13;69.5738540888;
89;10;29.6337299347;67.6844482422;15;66.6247260571;10;27.2999992371;55.6059188843;14;70.5216269493;
90;10;30.2227630615;70.638999939;16;66.953597784;10;28.2999992371;58.6288757324;14;71.4665622711;
91;10;30.2502803802;73.638999939;15;67.2719297409;10;28.2999992371;61.6524085999;15;72.3991658688;
92;10;30.2762851715;76.638999939;21;67.5879404545;10;28.2999992371;64.6765136719;17;73.3110343218;
93;10;30.3026924133;79.638999939;21;67.9011111259;11;28.2999992371;66.7011871338;17;74.1952310801;
94;10;29.6499996185;83.638999939;22;68.21093297;11;28.2999992371;68.7264099121;17;75.0465009212;
95;10;30.3564910889;84.7524871826;22;68.5169081688;11;28.2999992371;70.7521820068;17;75.8613159657;
96;10;30.3837623596;86.5110931396;23;68.8185553551;11;28.2999992371;72.7784729004;18;76.6377649307;
97;10;29.6499996185;88.5687866211;24;69.0783097744;11;28.2999992371;74.8052825928;18;77.3753300905;
98;10;30.4387283325;88.6254272461;30;69.3117995262;11;28.2999992371;76.832572937;19;78.0745923519;
99;10;30.4662895203;89.0419158936;30;69.5426211357;12;28.2999992371;78.8603363037;18;79.7369148731;
100;10;30.4938163757;89.0961608887;31;69.7702934742;12;29.2999992371;81.8885498047;19;80.4541459084;
101;10;30.521238327;89.1490631104;31;69.9943609238;13;30.2999992371;85.8885498047;18;81.1821675301;
102;10;30.5484886169;89.2005386353;31;70.2143950462;13;30.2999992371;89.8885498047;18;81.8891035318;
103;10;30.5755023956;89.2505187988;31;70.4299998283;13;30.2999992371;93.8885498047;19;82.4893271923;
104;10;29.6499996185;90.2989501953;32;70.6408109665;13;30.2999992371;97.6885528564;19;83.0141093731;
105;10;30.6285762787;93.6041107178;33;70.8465013504;13;30.2999992371;99.6885528564;19;83.5465136766;
106;11;30.6545162201;94.667388916;32;71.0467801094;13;30.2999992371;100.968917847;19;85.0849415064;
107;11;30.6799850464;95.7283477783;33;71.2413930893;13;31.2999992371;103.023414612;20;87.6578371525;
108;11;30.7049350739;96.7869567871;33;71.4301257133;14;34.2999992371;107.079116821;19;91.9469087124;
109;11;30.7293186188;97.843208313;35;71.6128005981;14;37.2999992371;112.567932129;20;95.8969244957;
