Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
120;9;29.6000003815;78.1344146729;17;72.6725974083;7;46.7999992371;85.8000030518;36;134.628545046;
121;9;28.0;72.3477020264;18;73.6105787754;7;46.7999992371;87.8000030518;37;134.704022646;
122;10;27.0;73.554649353;18;74.4320054054;7;47.7999992371;86.8000030518;37;134.779626608;
123;10;27.0;75.7542724609;17;75.1305217743;7;46.7999992371;88.8000030518;37;134.855242729;
124;10;28.6000003815;77.9457550049;18;75.745798111;7;46.7999992371;90.8000030518;38;134.930757046;
125;11;28.6000003815;81.1284255981;18;76.1893000603;7;46.7999992371;92.4000015259;38;135.006055355;
126;11;30.0;82.1017837524;18;76.4777617455;7;44.7999992371;95.4000015259;38;135.081024647;
127;11;31.7000007629;83.2654800415;19;76.7498178482;7;43.7999992371;98.4000015259;39;135.155553818;
128;11;32.0999984741;83.5661621094;18;77.0054507256;7;42.7999992371;101.400001526;40;135.229534149;
129;11;33.0999984741;83.754699707;14;77.8640885353;7;41.7999992371;104.400001526;37;135.302859545;
130;11;32.0999984741;79.8887634277;14;78.7145323753;7;41.7999992371;107.400001526;38;135.375427961;
131;11;33.0;78.2131652832;14;79.5527341366;7;41.7999992371;110.400001526;39;135.447141409;
132;11;34.0;77.328163147;14;80.3747134209;7;41.7999992371;112.400001526;40;135.517906427;
133;11;35.0;77.2426376343;13;83.1766695976;7;42.7999992371;114.400001526;40;135.587634563;
