Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
39;2;15.0;13.5;6;27.8453965187;2;16.0;19.0393486023;10;27.628036499;
40;2;16.0;13.9226980209;7;27.9067034721;3;17.0;18.0768222809;7;47.690372467;
41;2;14.6540088654;13.5;7;27.967549324;3;19.0;16.5;7;48.9525108337;
42;2;14.6676988602;14.5;7;28.0278632641;3;21.0;17.5;8;50.0319724083;
43;2;15.0;13.5;7;28.0875768661;3;22.0;18.1886234283;8;50.9338428974;
44;2;16.0;14.0437889099;7;28.1466243267;3;23.0;18.2255306244;6;51.6733052731;
45;2;17.0;14.0733118057;9;28.2049431801;3;24.3810920715;21.2255306244;7;52.2712073326;
46;2;15.7211122513;13.5;9;28.2624738216;4;24.399269104;24.2255306244;6;52.7502799034;
47;2;16.7340564728;15.5;9;28.319160223;4;24.4172763824;27.2255306244;7;53.1169772148;
48;2;17.7468109131;17.5;10;28.3749499321;4;24.435092926;29.5;7;53.1756706238;
49;2;18.0;19.5;10;28.4297945499;4;24.4527015686;31.5;7;53.2336053848;
50;2;19.0;21.5;10;28.4836492538;4;24.4700813293;32.5;7;53.2907235622;
51;2;20.408821106;22.5;11;28.5364735126;4;24.4872169495;33.5;7;53.346971035;
52;2;20.4207057953;22.5;11;28.5882308483;4;24.5040912628;34.5;8;53.4022974968;
53;2;20.432352066;22.5;11;28.6388883591;4;24.5206890106;35.5;8;53.4566559792;
54;2;20.4437503815;22.5;11;28.6884176731;4;24.5369968414;36.5;9;53.5100040436;
55;2;20.4548950195;22.5;11;28.7367942333;4;24.5530014038;37.5;9;53.5623030663;
56;2;20.4657783508;22.5;11;28.7839975357;4;24.5686912537;38.5;9;53.6135182381;
57;2;19.625;23.5;12;28.8300111294;4;24.5840549469;39.5;13;53.6636190414;
58;2;19.625;24.4150047302;13;28.8748219013;4;24.5990867615;40.5;13;53.7125790119;
59;2;20.4968357086;22.5;13;28.9184205532;4;24.6137733459;41.5;13;53.7603754997;
60;2;20.5066452026;22.5;13;28.960801363;4;24.628112793;42.5;13;53.8069901466;
61;2;20.5161800385;22.5;14;29.0;4;24.6420974731;43.5;13;53.8524079323;
62;2;20.5249996185;22.5;14;29.0;5;24.6557235718;44.5;13;53.8966178894;
