Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
32;4;18.25;22.5316638947;3;26.4962974787;2;17.0;21.3883895874;6;26.8162822723;
33;4;17.9233341217;22.5;3;26.5187973976;2;17.0;22.4081420898;6;26.8559447527;
34;4;17.6834583282;23.5;4;26.5412938595;2;17.0;23.4279727936;9;26.8957372904;
35;4;17.6935825348;24.5;4;26.5637768507;2;17.0;24.4478683472;9;26.9356285334;
36;4;17.7036991119;25.5;4;26.5862361193;2;17.0;25.4678134918;9;26.9755871296;
37;4;17.7138061523;26.5;4;26.6086617708;2;18.0;23.4877929688;10;27.015581131;
38;4;17.723897934;27.5;5;26.6310436726;2;17.0;24.5077896118;11;27.0555787086;
39;5;18.0;26.5;4;27.6533719301;2;17.0;25.5277900696;11;27.0955479145;
40;5;20.7440185547;27.5;5;27.7056366205;2;18.0;23.5477733612;12;27.135456562;
41;5;23.7540359497;29.5;5;28.7584191561;2;17.0;24.5677280426;13;27.17527318;
42;5;26.2412891388;31.5;5;28.8117029667;2;17.0;25.5876369476;13;27.2149660587;
43;5;27.2652664185;33.5;6;28.8654704094;2;18.6644897461;24.5876369476;14;27.2545039654;
44;5;27.7838783264;34.5;7;28.9197027683;3;19.0;24.5876369476;11;38.793856144;
45;5;28.5201263428;35.5;7;28.974380374;3;21.6881561279;25.5876369476;12;39.2929925919;
46;5;30.3384723663;34.4000015259;8;29.0294823647;3;23.6998977661;26.5;12;39.7552673817;
47;5;30.5499572754;34.4000015259;9;29.0849868059;3;24.7115650177;26.5;12;40.1798269749;
48;5;31.823009491;34.2792549133;9;29.1408708096;3;25.7231502533;26.5;13;40.5668308735;
49;5;32.832649231;34.3033790588;10;29.1971101761;3;26.7346458435;27.5;13;40.9172859192;
50;5;33.6886978149;33.4000015259;10;29.2536798716;4;27.2460403442;28.5;13;41.2328617573;
51;5;32.25;35.3526725769;10;29.3105537891;4;27.2573299408;29.5;13;41.5157074928;
52;5;33.7397499084;33.4000015259;11;29.3677048683;4;26.5;31.5;14;41.7682785988;
53;5;32.8949584961;34.4000015259;11;29.4251049757;4;27.2795581818;31.5;15;41.9931890965;
54;5;32.25;35.7685546875;12;29.4827252626;4;27.2904834747;32.5;15;42.1709127426;
55;5;33.1389770508;34.4550514221;12;29.5405358076;4;27.3012733459;33.5;15;42.2064116001;
56;6;34.1480865479;35.4813537598;12;30.5827163458;4;27.3119239807;34.5;15;43.2414214611;
57;6;35.1500015259;35.4000015259;12;30.6909751892;4;27.5;37.5;16;43.3159244061;
58;7;35.1500015259;37.4000015259;11;32.1661090851;4;28.5;39.8879623413;15;43.3910877705;
59;7;36.4918823242;37.125;12;33.3829835653;4;28.5;41.9049530029;16;43.4668979645;
60;8;35.2554702759;41.5902519226;12;35.2568497658;4;29.6900691986;42.5;16;43.5433396101;
61;8;36.9160385132;41.7330322266;12;36.7830370665;5;29.3628692627;44.5;16;43.6203957796;
62;8;36.5058822632;43.4644699097;13;38.0116065741;5;29.3725662231;45.5;16;43.6980473995;
63;8;37.8990783691;43.0448379517;13;39.0044656992;5;28.8773231506;46.5499992371;18;43.7762739658;
64;8;38.2076683044;43.5049667358;13;39.8102462292;6;29.3914375305;46.2024078369;17;43.8530313969;
65;8;38.4000015259;43.2890052795;13;41.1865561008;6;29.3999996185;45.5499992371;18;43.9023760557;
66;8;38.4000015259;45.9832191467;13;41.607678175;6;29.8207130432;45.5499992371;18;43.9528282881;
67;8;40.4000015259;46.167137146;13;43.044070363;6;29.835849762;45.5499992371;18;46.4559192657;
68;8;41.4000015259;47.51304245;15;43.5754729509;6;31.178024292;47.3762512207;18;47.7567956448;
69;8;41.4000015259;50.2972679138;14;44.1702301502;6;31.5191726685;50.0521659851;18;48.836243391;
70;8;41.4000015259;52.4072799683;15;44.7928620577;6;31.2123565674;53.0392150879;19;50.7339447737;
71;9;41.4000015259;55.4072799683;14;45.4437779188;7;33.3166236877;53.9325332642;16;65.8588672876;
