Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
33;4;26.0851745605;12.5;1;26.8957372904;3;27.2144393921;12.5;3;26.4513280392;
34;4;26.1030807495;12.5;1;26.9356285334;3;27.2256641388;12.5;3;26.4738043547;
35;4;26.1210327148;12.5;1;26.9755871296;3;27.2369022369;12.5;3;26.4962974787;
36;4;26.1390151978;12.5;3;27.015581131;3;27.2481479645;12.5;2;26.5187973976;
37;4;26.1570110321;14.5;3;27.0555787086;3;27.2593994141;12.5;1;26.5412938595;
38;4;26.1750106812;16.5;3;27.0955479145;3;27.270647049;12.5;1;26.5637768507;
39;4;26.1929969788;18.5;4;27.135456562;3;27.2818889618;12.5;2;26.5862361193;
40;4;26.2109565735;20.5;4;27.17527318;3;27.2931175232;14.5;2;26.6086617708;
41;4;26.2288722992;22.5;4;27.2149660587;3;27.3043308258;16.5;2;26.6310436726;
42;4;26.2467346191;22.5;4;27.2545039654;3;27.3155212402;18.5;2;26.6533719301;
43;4;26.2645263672;22.5;4;27.293856144;3;27.3266868591;20.5;3;26.6756366491;
44;4;26.2822341919;22.5;4;27.3329925537;3;27.3378181458;22.5;3;26.6978281736;
45;4;26.2998466492;22.5;6;27.3718836308;3;27.3489151001;22.5;5;26.7199368477;
46;4;26.3173484802;22.5;6;27.4105007648;4;27.3599681854;22.5;4;26.7419531345;
47;4;26.3347244263;22.5;8;27.4488155842;4;27.3709754944;22.5;4;26.7638677359;
48;4;26.3519668579;22.5;8;27.4868011475;4;27.3819332123;22.5;4;26.7856714725;
49;4;26.3690605164;22.5;8;27.5244314671;4;27.3928356171;22.5;4;26.8073554039;
50;4;26.3859939575;22.5;9;27.5616812706;4;27.4036769867;22.5;4;26.8289107084;
51;4;26.4027557373;22.5;9;27.5985264778;4;27.4144554138;22.5;4;26.8503289223;
52;4;26.419336319;22.5;9;27.6349442005;4;27.4251651764;22.5;4;27.8716015816;
53;4;26.4357242584;22.5;8;27.6709127426;4;28.4358005524;23.5;4;27.9227206707;
54;4;26.4519100189;22.5;8;27.7064116001;4;29.4463596344;24.5;4;27.9742693901;
55;4;26.4678840637;22.5;8;27.7414214611;4;29.9871330261;25.5;3;28.0262331963;
56;4;26.4836387634;22.5;8;27.7759244442;4;30.0131168365;26.5;4;28.0785967112;
57;5;26.4991664886;22.5;8;27.8099038601;4;30.0392971039;27.5;4;28.1313434839;
58;5;26.5144577026;22.5;8;27.84334445;4;30.0656719208;27.5;4;28.1844562292;
59;5;26.529504776;22.5;8;27.8762321472;4;29.4978733063;28.0943546295;5;28.2221269608;
60;5;26.544303894;22.5;8;28.9373166561;4;29.5;27.5;6;28.2560760975;
61;5;27.0217933655;23.0;8;29.7779049873;4;29.5;27.5;6;28.2905418873;
62;5;27.400056839;23.3899993896;9;30.4324426651;4;29.5;27.5;8;29.3384139538;
63;5;27.6945991516;23.6872596741;9;30.936797142;4;30.0;28.0;8;30.1674218178;
64;5;27.9215583801;23.9097423553;10;31.1760017872;4;30.3899993896;28.3899993896;8;30.8120602369;
65;5;28.0291996002;24.0;10;31.2339320183;4;30.6872596741;28.6872596741;8;31.3082393408;
66;5;28.055267334;24.0;10;31.2910454273;5;30.9097423553;28.9097423553;10;31.5410284996;
67;5;28.0809688568;24.0;8;31.3472878933;5;31.0;29.0;10;31.5943322182;
68;5;26.5999984741;24.0;8;31.4026088715;5;31.0;29.0;9;31.6486299038;
69;5;26.5999984741;24.0;8;31.4569618702;5;31.0;29.0;10;31.7038816214;
70;5;26.5999984741;24.0;6;32.5103042126;5;29.0;30.0;10;31.7600436211;
