Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
91;9;50.1619987488;52.5095901489;10;89.3073920012;12;64.5349197388;147.847106934;28;129.464515686;
92;9;50.7408027649;53.3771514893;10;91.2378806472;12;64.5464553833;149.92779541;28;129.577713013;
93;9;51.3617210388;55.260345459;11;92.851244092;12;64.5577697754;152.007034302;29;129.688598156;
94;9;51.0205459595;57.1575241089;12;95.1525034904;13;65.568862915;151.084655762;29;130.078286171;
95;9;51.7134933472;60.0672225952;12;96.2120109797;13;64.6078262329;151.957443237;28;130.480573654;
96;9;53.4716873169;63.9881095886;14;97.2827702761;13;64.6480560303;153.239044189;29;130.892681122;
97;9;54.227355957;68.0002441406;15;98.1642656326;13;65.6892700195;151.527511597;29;131.31149292;
98;9;54.0394935608;72.0234832764;16;98.625084877;13;64.7311477661;152.820678711;30;132.733637333;
99;9;53.8713798523;76.0564422607;16;99.0251223445;13;65.7733612061;155.11618042;30;134.215591431;
100;9;53.7210502625;80.0978317261;16;99.4056882858;13;68.8155593872;155.411560059;31;135.756757259;
101;9;54.5867500305;81.0350723267;20;99.7698918581;13;69.9696731567;159.704299927;32;136.446687937;
102;9;53.4668884277;84.9785842896;21;100.012127936;13;71.1296691895;164.991973877;35;139.192548633;
103;9;53.3600463867;88.9277496338;21;100.191394269;13;71.9152603149;170.439971924;37;141.710700035;
104;9;54.2649383545;89.8819961548;21;100.39097327;15;73.4569854736;172.885223389;36;144.014727116;
105;9;53.1804046631;93.8408203125;19;100.608550072;15;72.079284668;180.322113037;34;146.123946905;
106;9;53.1054000854;97.8037567139;20;100.841962874;15;74.5181884766;181.322113037;34;148.060405612;
107;9;54.0389938354;98.770401001;20;101.089196205;15;74.9942474365;183.322113037;37;149.70346272;
108;9;52.9803504944;102.740386963;18;101.34836483;15;76.1595687866;188.322113037;37;151.154713511;
109;9;52.9286994934;106.713363647;20;101.617704868;15;78.2991790771;193.278915405;37;152.459794998;
110;9;52.8833618164;110.689056396;20;101.895563364;15;82.3553009033;191.32925415;37;154.493754983;
111;9;53.8437271118;110.433288574;20;102.180387914;15;83.5191802979;195.981307983;39;155.680309892;
112;9;53.8092308044;110.511703491;21;102.470714808;15;86.6228408813;200.035049438;41;156.890264988;
113;9;52.779384613;113.594963074;22;102.765161335;15;89.858833313;200.506912231;41;158.125737786;
114;9;53.7537384033;113.682579041;22;103.062417805;16;91.9515151978;200.634368896;42;159.388344765;
115;9;53.7318878174;113.77407074;21;103.361239076;18;92.7388381958;203.765335083;41;160.678868175;
116;9;52.7134666443;116.868911743;21;103.660445929;18;94.8678970337;202.899658203;43;161.997016191;
117;9;55.1169242859;119.466583252;19;103.958915472;18;94.9997024536;205.037124634;42;163.341282368;
118;9;57.1369094849;121.099151611;19;104.255579829;18;97.1161422729;205.177505493;43;164.590396643;
119;9;59.1571846008;122.26133728;19;104.549433529;18;98.2590484619;205.320571899;43;164.744239807;
120;9;61.177734375;123.420967102;19;104.839526534;18;97.9844207764;208.466018677;40;166.041793585;
121;9;63.1985626221;123.399887085;20;105.124972463;18;100.723190308;209.613586426;42;167.52388835;
122;9;65.2196655273;124.539611816;22;105.379167318;18;104.554801941;209.762924194;42;168.175071955;
123;6;60.2145805359;102.466178894;22;96.6633610725;21;109.619766235;218.474182129;33;177.81337893;
124;6;60.6725311279;103.56854248;23;96.83857584;22;112.933250427;225.607498169;34;178.655954182;
125;6;60.9998168945;104.669540405;24;97.0113601685;23;115.986030579;233.607513428;34;179.561134756;
126;6;60.9848327637;105.768737793;25;97.180914402;23;118.584945679;243.607513428;35;180.514147401;
127;6;60.9713516235;106.865737915;25;97.346517086;23;121.728469849;249.607513428;39;181.501084745;
128;6;60.9592132568;107.960197449;26;97.5075387955;23;124.295555115;252.607513428;41;182.508909822;
129;6;60.9482917786;109.051803589;29;97.6634364128;23;123.292724609;259.607513428;44;183.525506616;
130;6;60.9384651184;110.140281677;31;97.8137617111;23;124.292724609;266.607513428;47;184.539788604;
131;6;60.9296150208;111.225418091;31;97.9581537247;23;127.302818298;268.607513428;49;186.541837931;
132;6;60.9216537476;112.307052612;33;98.0963363647;23;131.334152222;269.607513428;50;187.583066225;
133;6;60.9144897461;113.385040283;34;98.2281165123;23;133.392440796;273.607513428;53;188.599312901;
134;6;60.908039093;114.459320068;35;98.3533773422;23;135.530426025;279.607513428;54;189.560864091;
135;6;60.9022369385;115.529823303;30;98.4720692635;23;138.601119995;282.607513428;51;190.365593672;
136;6;60.8970108032;120.456001282;32;98.5842046738;23;142.6456604;283.607513428;50;191.154268265;
137;6;60.8923110962;123.454589844;33;98.6898560524;24;142.70539856;291.607513428;46;206.92320168;
138;6;61.8880805969;123.453315735;35;98.7891373634;24;147.752532959;294.607513428;46;208.720104456;
139;6;60.8842697144;126.452171326;35;98.8822054863;24;150.816482544;297.607513428;46;210.398844004;
140;6;60.8808441162;129.451141357;36;98.969250679;24;151.884490967;306.607513428;46;211.948700905;
141;6;61.8777580261;129.450210571;37;99.0263004303;24;156.938400269;308.807495117;49;214.366544127;
142;6;61.8749847412;129.449371338;38;99.0236701965;26;160.015136719;314.807495117;50;216.241426945;
143;6;60.8724899292;132.448623657;39;99.0213031769;27;163.292358398;319.807495117;51;218.018575191;
144;6;61.8702392578;132.447952271;40;99.0191736221;27;165.565200806;321.454589844;52;219.682125449;
145;6;61.8682174683;132.447341919;40;99.0172567368;27;164.681777954;328.562438965;52;221.143482685;
146;6;60.866394043;135.446792603;43;99.0155315399;27;164.839630127;338.037017822;52;222.555501938;
147;6;62.8647537231;132.446304321;44;99.0139789581;27;172.932479858;330.272094727;53;223.825726986;
148;6;61.86328125;132.445861816;45;99.0125808716;27;171.219268799;337.519104004;54;225.966729164;
149;6;60.8619537354;135.445465088;45;99.0113229752;27;176.342208862;342.777770996;57;228.232776999;
150;6;62.8607559204;132.445098877;39;99.0101909637;27;174.512237549;351.047576904;56;229.662398934;
