Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
82;5;32.4000015259;39.4199981689;7;49.0914802551;10;26.7750015259;43.1262893677;10;53.892023921;
83;5;30.4000015259;43.4199981689;6;49.3491518497;10;27.9746456146;41.5359840393;12;55.2315683365;
84;5;26.4000015259;43.4199981689;6;48.6622833014;10;27.1727790833;43.8530311584;12;56.3905450106;
85;4;25.4000015259;36.4199981689;6;47.2497878075;11;29.338727951;41.0953865051;10;58.1216697693;
86;4;23.4000015259;38.4199981689;6;46.7978553772;11;29.4462928772;40.0;9;58.5493109822;
87;4;25.4000015259;38.4199981689;5;47.7666646242;11;30.2999992371;40.0;8;58.9743583202;
88;4;25.4000015259;38.4199981689;5;48.5132085085;11;29.4499988556;42.0;8;60.3943033814;
89;4;23.4000015259;41.4199981689;14;48.8033264279;11;26.4499988556;47.0;7;60.9668420553;
90;4;22.4000015259;44.4199981689;9;49.014900744;11;25.4499988556;52.0;7;61.5536316633;
91;4;21.4000015259;42.4199981689;6;48.4434843063;11;25.2999992371;57.6172714233;7;62.2429115772;
92;4;18.4000015259;43.4199981689;7;47.9394840002;12;25.2999992371;62.8206100464;6;63.9456298947;
93;4;17.4000015259;44.4199981689;8;47.495747447;12;27.2999992371;66.8206100464;11;64.7241510153;
94;3;15.4000015259;37.4199981689;7;42.5281097293;13;29.2999992371;70.8206100464;7;69.892572403;
95;3;14.0;39.4199981689;7;42.0752993226;13;31.2999992371;75.8206100464;7;71.0659527779;
96;3;15.0;38.4199981689;7;41.6677688062;13;33.2999992371;80.8206100464;7;72.3156420588;
97;3;15.0;37.4199981689;7;41.3009927869;13;34.2999992371;85.8206100464;7;74.6462294459;
98;3;14.0;39.4199981689;8;40.9708940685;13;35.2999992371;91.8206100464;8;78.1510604024;
99;3;14.0;41.4199981689;8;40.6738035083;13;38.2999992371;99.0553283691;8;79.8985991478;
100;3;15.0;40.4199981689;9;40.4064231515;13;40.2999992371;104.197593689;9;82.7478100061;
