Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
26;3;18.9500007629;12.8241634369;6;25.8253314495;3;25.25;13.5;4;26.5072168112;
27;3;18.9500007629;12.9126653671;7;26.0041532516;3;25.25;13.5550518036;4;26.5447884798;
28;3;18.9500007629;13.0020771027;8;26.1841740608;3;25.25;13.5813522339;4;26.5827163458;
29;3;18.9500007629;13.092086792;9;26.3647556305;3;25.25;13.6079015732;4;26.6209751368;
30;3;17.9320716858;12.092086792;9;26.5452489853;3;25.25;13.6346826553;4;26.6595385075;
31;4;16.9726810455;13.0;6;43.9750022888;3;25.9967918396;12.5;4;26.6983793974;
32;4;19.0131263733;12.0;6;45.0158700943;3;26.0142707825;12.5;4;26.7374696732;
33;4;21.0532588959;13.0;6;45.9416308403;3;25.25;13.5;4;26.7767804861;
34;4;22.0929393768;14.0;6;46.754430294;3;26.0495510101;12.5;5;26.8162822723;
35;4;22.1320304871;15.0;6;47.4610748291;3;26.0673274994;12.5;6;26.8559447527;
36;4;22.1704063416;16.0;6;48.0713253021;3;25.25;13.5;6;26.8957372904;
37;4;20.9500007629;18.0;6;48.5963807106;3;25.25;13.8270158768;6;26.9356285334;
38;4;20.9500007629;20.0;6;49.0476856232;3;26.1210327148;15.8270158768;6;26.9755871296;
39;4;20.9500007629;22.0;6;49.3145475388;3;26.1390151978;17.8270168304;6;27.015581131;
40;4;20.9500007629;24.0;6;49.4622468948;3;26.1570110321;19.8270149231;6;27.0555787086;
41;4;20.9500007629;26.0;6;49.604367733;3;26.1750106812;21.5;6;27.0955479145;
42;4;20.9500007629;27.7189311981;7;49.7407093048;4;26.1929969788;22.5;5;27.135456562;
43;4;20.9500007629;28.8416385651;7;49.8711266518;4;26.2109565735;22.5;5;27.17527318;
44;4;20.9500007629;29.9590148926;8;49.9955291748;4;26.2288722992;22.5;6;27.2149660587;
45;4;20.9500007629;31.0709762573;8;50.1138772964;4;26.2467346191;22.5;6;27.2545039654;
46;4;20.9500007629;32.1774902344;9;50.2261786461;4;26.2645263672;22.5;6;27.293856144;
47;4;21.9500007629;33.0;10;50.3324832916;4;25.25;23.5;6;27.3329925537;
48;5;23.5435600281;36.0;10;51.4328784943;4;26.25;22.5;7;27.3718836308;
49;5;24.5661487579;39.0;10;51.6349858046;4;26.3173484802;22.5;7;27.4105007648;
50;5;24.8366222382;42.0;11;51.8418197632;4;25.25;23.5;8;27.4488155842;
51;6;24.8831596375;45.0;11;52.0542873144;4;25.25;24.2141704559;8;27.4868011475;
52;6;24.9309654236;47.0;13;52.2451226711;4;26.25;22.5;8;27.5244314671;
53;6;24.973903656;48.0;13;52.3984457254;4;25.25;23.5;7;27.5616812706;
54;6;25.0083999634;49.0;14;52.5649644136;4;26.25;22.5;7;27.5985264778;
55;7;25.0458679199;50.0;14;52.7452818155;5;26.25;24.5;6;28.6349442005;
56;7;25.0864391327;50.125;14;52.9399158955;5;28.25;24.5;6;28.760912776;
57;7;25.1302318573;50.125;14;54.149273634;5;28.4519100189;25.5;8;29.8935306072;
58;7;26.1773376465;51.125;15;54.4136230946;5;28.7842025757;28.5;9;30.0631598234;
59;7;27.2278156281;52.125;15;54.6942486763;5;30.831281662;29.5;9;30.2407417297;
60;7;27.5249576569;53.125;16;54.9910569191;5;29.25;32.4829559326;9;30.4266004562;
61;7;27.5917396545;54.125;16;56.3037291765;5;29.25;34.5343856812;10;30.6210311651;
62;8;28.6620903015;56.125;16;56.6816991568;6;29.9943771362;34.4903411865;12;31.8805012703;
63;8;29.7358837128;57.125;18;58.5112063885;6;29.7000007629;37.0332641602;11;32.9323452711;
64;8;30.1358261108;58.6749992371;19;60.1626220942;6;31.0510005951;35.8964004517;11;33.8113449812;
65;8;30.4952507019;60.1254501343;19;61.6518558264;6;31.2874984741;35.8524627686;12;34.5536071062;
66;8;30.81772995;61.4853553772;20;63.0008686781;6;32.5734558105;35.0840415955;16;35.044288516;
67;9;31.1082019806;61.7670822144;19;64.2329252958;7;32.0150985718;36.2176895142;13;35.3672525883;
68;9;31.3718986511;61.9840011597;19;66.3216687441;7;32.0413513184;37.195438385;13;35.7027902603;
69;9;32.6028900146;63.125;19;67.1621903181;7;32.0672531128;37.4001121521;14;36.0505096912;
70;9;33.7708244324;64.125;20;68.0018678904;7;31.7697181702;35.0926055908;16;36.409837842;
71;9;33.9379806519;65.125;21;70.6401263475;7;31.3844261169;36.0;15;36.7800095081;
72;9;34.317276001;67.2321853638;22;72.946614027;7;29.8262729645;38.0;15;37.1600635052;
73;10;34.6529693604;69.1154098511;21;74.9667491913;7;27.5999984741;38.498588562;16;38.5488433838;
