Turn;Planet_count_KI_1_SP_GYSACHE;Research_KI_1_SP_GYSACHE;Industry_KI_1_SP_GYSACHE;Ships_KI_1_SP_GYSACHE;Population_KI_1_SP_GYSACHE;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
79;7;26.5999984741;74.3447952271;21;45.548053503;5;26.674495697;38.5999984741;17;32.8058319092;
80;7;25.5999984741;75.608291626;22;46.0280776024;5;26.2267227173;40.5999984741;18;34.0903241634;
81;8;25.0;76.8724899292;22;46.4689421654;5;26.4788856506;41.7066955566;18;35.1610612869;
82;8;25.0;78.1080169678;16;46.8947665691;5;26.6824817657;42.2128067017;18;36.0523495674;
83;8;25.0;79.3319168091;16;47.324133873;5;28.1117782593;38.8708152771;17;36.7998821735;
84;8;25.0;80.5574035645;17;47.7560141087;5;28.2799739838;38.9097442627;17;37.2884812355;
85;8;25.0;81.7839355469;17;48.18932271;5;27.0468635559;41.0;18;37.6017748117;
86;9;25.0;83.0109634399;15;48.6229319572;5;27.7068214417;41.0;18;37.9199359417;
87;9;25.0;82.8307723999;18;50.0556838512;5;27.7659702301;41.3831596375;19;38.2425894737;
88;9;26.0;86.0263214111;20;50.5864044428;6;25.1449813843;43.4211807251;18;38.5693283081;
89;10;28.0;85.6893081665;17;66.1228177547;7;24.1794433594;45.4584960938;18;38.8997144699;
90;11;28.0;94.273109436;17;67.7143273354;7;23.2147369385;46.783946991;19;39.233281374;
91;11;29.0;97.5831680298;18;69.2153323889;7;22.250831604;47.9051475525;20;39.5695352554;
92;11;30.0;100.889007568;19;71.614729166;7;24.0783805847;45.8693275452;20;39.9079589844;
93;12;32.0;104.189880371;19;72.9683297873;7;25.1435203552;45.4950752258;20;40.2480137348;
