Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
159;10;41.7283973694;114.0;26;109.453835726;8;30.1000003815;87.6999969482;23;59.34971416;
160;10;41.7453842163;116.200004578;27;109.624158382;8;29.1000003815;91.6999969482;24;59.552185297;
161;10;41.7624168396;116.200004578;28;109.794655323;8;30.1000003815;92.6999969482;24;59.7594197989;
162;10;40.1794700623;119.200004578;28;109.965025902;8;30.1000003815;93.6999969482;24;59.9711252451;
163;10;40.1965065002;119.200004578;29;110.134962797;8;29.1000003815;97.6999969482;25;60.186978817;
164;10;39.0134963989;122.200004578;30;110.304154396;8;30.1000003815;98.6999969482;27;60.4066278934;
165;10;39.030418396;125.200004578;28;110.472287893;8;30.1000003815;99.6999969482;24;60.6296916008;
166;10;40.0472297668;125.200004578;29;110.639052153;8;29.1000003815;103.699996948;24;60.8557639122;
167;10;39.0639076233;127.200004578;29;110.804139376;8;30.1000003815;104.239562988;22;61.0844154358;
168;10;39.0804176331;129.200012207;28;110.967248917;8;30.1000003815;104.325202942;19;61.3151962757;
169;10;40.0967254639;128.200012207;29;111.113348961;8;29.1000003815;107.410514832;23;61.54763937;
170;10;39.1113357544;130.200012207;29;111.232087135;8;30.1000003815;107.495292664;22;61.7812635899;
171;10;39.123210907;132.200012207;30;111.349227428;8;30.1000003815;107.579345703;23;62.0155780315;
172;10;40.1349258423;131.200012207;29;111.464515686;8;31.1000003815;107.662460327;21;62.2500844002;
173;10;39.1464538574;135.200012207;31;111.577713013;8;33.0999984741;108.74446106;21;62.4842829704;
174;10;39.1577720642;135.200012207;32;111.688598156;8;35.0999984741;108.938995361;22;62.717674017;
175;10;40.1688613892;134.200012207;33;111.796970367;8;36.5999984741;108.102371216;22;62.9497628212;
176;10;39.1796989441;136.200012207;35;111.902648926;9;37.5999984741;107.564834595;22;63.1800646782;
177;10;39.1902656555;138.200012207;35;112.005474567;9;38.5999984741;107.726043701;23;63.4081065655;
178;10;42.2005500793;133.200012207;32;112.105309963;9;39.5999984741;107.885673523;20;63.6334319115;
179;10;42.2105331421;132.200012207;33;112.202039719;9;40.5999984741;108.043395996;20;63.8556036949;
180;10;44.2202033997;131.200012207;34;112.295570374;9;41.5999984741;108.198921204;21;64.0742070675;
181;10;46.2295608521;130.200012207;34;112.385829449;9;42.5999984741;108.35194397;21;64.2888526917;
182;10;48.2385826111;130.200012207;34;112.472765923;9;43.5999984741;108.502197266;22;65.4991784096;
183;10;47.2472801208;132.200012207;34;112.556347847;9;45.5999984741;109.649429321;22;65.7648530006;
184;10;47.2556381226;136.200012207;35;112.636562347;9;47.5999984741;110.793395996;23;66.0391392708;
185;10;47.2636566162;138.300003052;35;112.713413239;9;47.8999977112;111.933906555;22;66.3124774694;
186;10;47.2713432312;140.300003052;34;112.786921024;9;47.8999977112;113.070755005;21;66.5847628117;
187;10;48.2786941528;142.300003052;34;112.857120991;9;47.8999977112;114.203788757;21;66.8559117317;
188;10;50.2857131958;141.300003052;33;112.924060822;9;47.8999977112;114.332862854;22;67.1258604527;
189;10;49.8924102783;144.300003052;35;112.987800121;9;47.8999977112;114.457862854;23;67.3945593834;
190;10;50.8987808228;144.300003052;35;113.0;9;47.8999977112;114.578697205;25;67.6619707346;
191;10;50.9000015259;144.300003052;35;113.0;9;47.8999977112;114.695289612;25;67.8796561956;
192;10;49.9000015259;145.300003052;35;113.0;9;47.8999977112;114.773712158;26;68.0868506432;
193;10;50.9000015259;147.300003052;35;113.0;9;47.8999977112;114.841430664;26;68.2956409454;
194;10;50.9000015259;147.300003052;36;113.0;9;47.8999977112;120.773712158;26;68.5059027672;
195;10;49.9000015259;150.300003052;36;113.0;9;49.8999977112;117.773712158;28;68.717498064;
196;10;50.9000015259;148.300003052;37;113.0;9;47.8999977112;120.773712158;28;68.9302704334;
197;10;50.9000015259;148.200012207;37;113.0;9;48.8999977112;123.773712158;30;69.144043684;
198;10;49.9000015259;151.200012207;38;113.0;10;50.7179222107;123.400222778;29;69.3586184978;
199;10;50.9000015259;155.200012207;38;113.0;10;50.8177757263;123.400222778;30;69.5737714767;
200;10;52.9000015259;156.200012207;39;113.0;10;49.9204673767;126.400222778;31;69.7892541885;
201;10;52.9000015259;160.200012207;40;113.0;10;51.0257987976;126.400222778;32;70.0047905445;
202;10;54.9000015259;161.200012207;41;113.0;10;51.1335258484;126.400222778;31;70.2200791836;
203;10;58.9000015259;157.200012207;40;113.0;10;50.2434043884;129.400222778;32;70.3863852024;
204;10;59.9000015259;157.200012207;41;113.0;10;51.3551292419;128.800216675;33;71.5426199436;
205;10;60.9000053406;160.200012207;44;113.0;10;53.4683990479;126.800216675;31;71.7405278683;
206;10;64.2999954224;157.200012207;45;113.0;10;54.5828819275;128.800216675;32;71.9408149719;
207;10;64.2999954224;157.200012207;46;113.0;10;53.6982307434;129.800216675;33;72.1429874897;
208;10;64.2999954224;160.200012207;46;113.0;10;53.8140907288;130.800216675;35;72.3465374708;
209;10;68.2999954224;154.200012207;48;113.0;11;53.9300880432;131.800216675;34;72.5509494543;
210;10;67.2999954224;154.200012207;49;113.0;11;54.0458526611;132.800216675;34;72.7557060719;
211;10;67.2999954224;157.200012207;49;113.0;11;54.1610221863;133.561065674;35;72.9602944851;
212;10;71.2999954224;151.200012207;50;113.0;11;54.2752189636;133.626953125;36;73.164213419;
213;10;70.2999954224;151.200012207;49;113.0;11;54.3881034851;133.694458008;36;73.3669780493;
214;10;70.2999954224;154.200012207;48;113.0;11;54.4993362427;133.763549805;37;73.5681256056;
215;10;74.2999954224;148.200012207;48;113.0;11;54.6085929871;133.83416748;37;73.767220974;
216;10;73.2999954224;148.200012207;46;113.0;11;54.7155723572;133.906326294;40;73.9638600349;
217;10;73.2999954224;151.200012207;49;113.0;11;54.8200111389;133.979949951;41;74.1576724052;
218;10;77.0999984741;145.200012207;49;113.0;11;54.9216575623;134.054992676;42;74.3483258486;
219;10;75.0999984741;145.200012207;48;113.0;11;55.0203056335;134.131408691;42;74.5355250835;
220;10;74.0999984741;148.200012207;49;113.0;11;55.1157646179;134.20916748;43;74.719014883;
221;10;77.0999984741;142.200012207;48;113.0;11;55.2078895569;134.288162231;41;74.898578763;
222;11;76.0999984741;144.200012207;46;114.0;11;55.296546936;134.368347168;41;75.0740388632;
223;11;76.0999984741;149.200012207;47;114.120000005;11;55.3816566467;134.449645996;42;75.2452543974;
224;11;77.0999984741;154.200012207;47;115.533054829;11;55.4631500244;134.531982422;42;75.4121189117;
225;11;78.5640029907;159.200012207;47;116.87180233;11;55.5409965515;134.615264893;42;75.5745592117;
226;11;80.9672012329;161.200012207;46;118.135076165;11;55.6151885986;134.699401855;42;75.732531786;
227;12;81.5356216431;166.200012207;45;120.324083805;11;54.6857414246;138.423782349;38;75.8860206604;
228;12;82.0046005249;168.200012207;45;120.516962722;11;54.7526931763;141.52772522;38;76.0350337029;
