Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
76;9;41.2004089355;63.0;15;113.982026339;7;40.3408966064;46.0531196594;24;83.0061225891;
77;10;40.2804222107;66.0;15;114.122811675;7;39.6391944885;45.0531196594;24;83.861451149;
78;10;40.2999992371;69.0;16;115.14388895;7;37.9469261169;47.0531196594;24;84.7372808456;
79;10;41.2999992371;73.0;16;115.205120802;7;37.2556915283;49.0531196594;25;85.604077816;
80;10;42.2999992371;77.0;16;115.267683268;7;36.5571479797;50.9141464233;23;85.8477230072;
81;10;43.2999992371;78.0;17;115.331570029;7;35.7427749634;51.8902053833;24;86.0788230896;
82;10;42.2999992371;82.0;18;115.396771431;7;34.913394928;52.8686561584;25;86.2840604782;
83;10;42.2999992371;86.0;18;116.463274598;7;34.0661201477;53.8492622375;26;86.4553060532;
84;10;42.2999992371;88.0;19;116.681063175;7;33.1995353699;54.8318099976;26;86.5889310837;
85;10;42.2999992371;90.0;20;116.920892477;8;32.3134613037;55.8161010742;25;86.684867382;
86;11;42.2999992371;96.0;21;118.185068369;9;31.5768241882;56.8019599915;26;86.745549202;
87;12;44.2999992371;99.0;19;118.490982413;9;31.6548347473;57.7892379761;26;86.7749910355;
88;12;44.2999992371;102.0;20;122.426131845;9;31.7174949646;58.7777862549;27;86.7779717445;
89;13;44.2999992371;104.990722656;20;125.276882768;9;31.766834259;59.7674789429;27;86.7248148918;
90;13;43.2999992371;107.129600525;21;127.331835747;9;31.7944869995;60.7582015991;27;86.5027351379;
91;13;42.2999992371;107.0;22;128.495601535;9;31.7671012878;61.7498550415;27;87.302863121;
92;13;40.2999992371;108.0;22;129.390761614;9;33.7424545288;62.2180290222;27;87.939504385;
93;14;41.2999992371;107.0;21;131.015749812;9;36.6483154297;63.2085609436;28;87.9026477337;
94;14;44.2999992371;105.0;22;131.666466951;9;38.8981971741;64.2000427246;28;87.9820780754;
95;14;45.2999992371;106.0;22;132.364009857;9;36.840423584;67.1923751831;29;88.1261351109;
96;14;46.2999992371;108.0;24;133.107194424;9;35.775390625;70.1854705811;29;88.4162838459;
97;14;47.2999992371;110.0;23;133.893631577;9;35.3282546997;73.0921401978;28;88.8701965809;
98;15;48.2999992371;114.0;20;134.719654918;10;33.7266044617;74.1736755371;23;89.5069875717;
99;15;49.2999992371;118.0;20;135.580330014;10;32.3033676147;77.1686401367;24;90.345331192;
100;15;50.2999992371;122.0;21;136.469553947;11;31.2927570343;79.2238693237;21;91.4005777836;
