Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
33;2;18.3999996185;15.0;4;29.1229639053;2;14.9500007629;21.2787380219;7;32.6535263062;
34;2;17.7368888855;16.0;4;29.1889609098;2;15.9500007629;20.2787380219;8;33.1165790558;
35;2;16.7566871643;17.0;4;29.2580518723;2;16.9500007629;20.2787380219;9;33.5482826233;
36;2;15.7774152756;18.0;4;29.3302885294;2;17.9500007629;21.2787380219;9;33.946896553;
37;2;16.3999996185;16.6651439667;4;29.4057120085;2;18.9500007629;21.7522068024;10;34.3116474152;
38;2;14.8217134476;17.0;5;29.484351635;2;18.9500007629;22.0804824829;10;34.6426277161;
39;2;14.4453058243;18.0;5;29.5662232637;2;18.9500007629;22.378364563;11;34.9406614304;
40;2;14.4698667526;19.0;5;29.6513283253;2;18.9500007629;22.6465950012;12;35.2071533203;
41;2;14.4953985214;20.0;5;29.7396525145;2;18.9500007629;22.8864364624;12;35.4439373016;
42;2;14.5218963623;21.0;5;29.8311642408;2;19.9500007629;20.8864364624;12;35.6531333923;
43;2;14.5493488312;22.0;5;29.9258141518;2;18.9500007629;21.8864364624;13;35.8370227814;
44;2;14.5777444839;23.0;7;30.0235335827;2;18.9500007629;22.8864364624;13;35.9979438782;
45;2;15.0;22.0;7;30.1242339611;2;19.9500007629;20.8864364624;14;36.0;
46;2;14.6372699738;22.0;7;30.2278065681;2;18.9500007629;21.8864364624;14;36.0;
47;2;14.6683425903;23.0;9;30.3341217041;2;18.9500007629;22.8864364624;13;36.0;
48;2;15.7002363205;22.0;11;30.4430289268;2;19.9500007629;20.8864364624;14;36.0;
49;3;16.0;22.0;10;30.5543570518;2;18.9500007629;21.8864364624;14;36.0;
50;3;17.0;22.0;11;30.667914629;2;19.9500007629;20.8864364624;15;36.0;
51;3;18.8003749847;23.0;11;30.7834908962;2;20.9500007629;20.8864364624;15;36.0;
52;3;19.0;24.0;12;30.9008569717;2;21.9500007629;20.8864364624;16;36.0;
53;3;20.870256424;24.0;12;31.0197672844;2;22.1000003815;20.8864364624;15;36.0;
54;4;21.0;25.0;8;51.1399610043;2;22.1000003815;21.0;14;36.0;
55;4;23.0;25.0;8;52.4611654282;2;22.1000003815;21.0;13;36.0;
56;4;25.3783493042;26.0;9;53.6006941795;2;22.1000003815;21.0;13;36.0;
57;4;26.4149284363;27.0;9;54.5634162426;2;22.1000003815;21.0;13;36.0;
58;4;27.4516372681;28.0;9;55.3642911911;2;22.1000003815;21.0;14;36.0;
59;4;28.4883861542;29.0;10;56.0239391327;2;22.1000003815;21.0;14;36.0;
60;4;29.5250873566;29.0;12;56.5648610592;2;22.1000003815;21.0;14;36.0;
61;4;30.5616493225;29.0;12;56.9932823181;2;22.1000003815;21.0;14;36.0;
62;4;31.222984314;29.0;13;57.1133489609;2;22.1000003815;21.0;15;36.0;
63;4;31.2590045929;29.0;16;57.2320871353;2;22.1000003815;21.0;14;36.0;
64;4;31.294626236;29.0;16;57.3492274284;3;22.1000003815;21.0;11;52.0;
65;4;31.3297672272;29.0;16;57.464515686;3;23.1000003815;22.0;11;52.6399993896;
66;4;29.3643550873;30.0;18;57.5777130127;3;24.1000003815;23.0;11;53.1991043091;
67;4;28.3983135223;31.0;18;57.688598156;3;25.1000003815;24.0;11;53.6808338165;
68;5;27.4315795898;32.0;9;67.7969703674;3;26.1000003815;25.0;12;54.0908813477;
69;5;27.4640903473;34.0;11;68.3026485443;3;27.1000003815;26.0;12;54.436258316;
70;5;27.8707942963;36.0;11;68.7798743248;4;28.1000003815;26.0;10;74.7245540619;
71;5;28.9016418457;38.0;11;69.2272486687;4;30.1000003815;27.0;12;76.1633758545;
72;5;28.3999996185;41.0;11;69.64407444;4;32.0999984741;28.0;12;77.2175998688;
73;5;29.3999996185;44.0;12;72.6227388382;4;32.0999984741;30.0;12;78.0579586029;
74;5;30.3747406006;46.3868026733;12;75.00248909;4;33.0999984741;32.0;12;78.736333847;
75;5;31.804265976;45.9160003662;13;76.8745617867;5;33.6500015259;34.0;12;79.273645401;
76;5;32.8500137329;46.6162643433;12;78.3372578621;6;33.6999969482;35.0;11;81.880903244;
77;6;33.155330658;47.8922767639;11;79.1620817184;6;34.9654998779;36.0;11;84.0069770813;
78;6;33.3486251831;49.0;11;79.5555105209;6;35.0311965942;35.0;12;85.7133140564;
79;6;33.4666519165;50.0;12;79.9152870178;6;35.3050765991;35.0;11;86.906373024;
