Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
91;6;21.1607608795;61.5413398743;20;60.32649827;1;16.0255012512;19.3899993896;19;27.8194847107;
92;6;21.0;61.6632499695;20;60.5698225498;1;15.0255012512;20.3899993896;19;28.0;
93;6;21.0;61.7849121094;21;60.812063694;1;14.0255012512;21.3899993896;19;28.0;
94;6;21.0;61.9060325623;22;61.0526440144;1;13.0255012512;22.3899993896;19;28.0;
95;6;21.0;62.0263214111;23;61.2909991741;1;12.0255012512;23.3899993896;19;28.0;
96;6;21.0;62.1455001831;23;61.5265846252;1;12.0;24.3899993896;20;28.0;
97;6;21.0;62.26329422;25;61.7588787079;2;12.0;25.3899993896;19;28.0;
98;6;21.0;62.3794364929;25;61.9873890877;2;12.0;26.3899993896;19;28.0;
99;6;21.0;60.4385528564;26;62.2116541862;2;12.0;27.3899993896;20;28.0;
100;7;21.0;60.194103241;24;78.4312496185;2;12.0;28.3899993896;21;28.0;
101;7;23.0;59.2514076233;24;79.4457879066;2;12.0;29.3899993896;21;28.0;
