Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
41;4;19.625;13.8762550354;10;27.8143725395;1;19.5;12.5;7;25.0;
42;4;19.625;13.9071865082;11;27.8758842945;1;19.5;12.5;8;25.0;
43;4;20.2720737457;12.5;11;27.936971426;1;19.5;12.5;8;25.0;
44;4;20.2858181;14.5;12;27.9975619316;1;19.5;12.5;8;25.0;
45;4;20.299451828;16.5;13;28.0575861931;1;19.5;12.5;9;25.0;
46;4;20.3129577637;18.5;13;28.1169772148;1;19.5;13.5;9;25.0;
47;4;20.3263206482;20.5;13;28.1756706238;1;19.5;14.5;10;25.0;
48;4;20.3395252228;22.5;14;28.2336053848;1;19.5;15.5;10;25.0;
49;4;20.3525619507;22.5;14;28.2907235622;1;19.5;16.5;11;25.0;
50;4;20.3654136658;22.5;15;28.346971035;1;19.5;17.5;12;25.0;
51;4;20.378068924;22.5;15;28.4022974968;1;19.5;17.5;13;25.0;
52;4;20.3905162811;22.5;15;28.4566559792;1;19.5;17.5;13;25.0;
53;4;20.4027481079;22.5;15;28.5100040436;1;19.5;17.5;13;25.0;
54;4;20.4147510529;22.5;16;28.5623030663;2;19.5;17.5;11;35.0;
55;4;20.4265174866;22.5;16;28.6135182381;2;20.5;18.5;11;35.3999996185;
56;4;20.438041687;22.5;16;28.6636190414;2;21.5;19.5;11;35.7743997574;
57;4;20.4493141174;22.5;17;28.7125790119;2;21.5;20.5;12;36.1219387054;
58;4;20.4603309631;22.5;17;28.7603754997;2;21.5;21.5;12;36.4420347214;
59;4;20.4710845947;22.5;18;28.8069901466;2;21.5;22.5;12;36.7347183228;
60;4;20.4815731049;22.5;19;28.8524079323;2;21.5;23.5;12;37.0005426407;
61;4;20.4917907715;22.5;19;28.8966178894;2;21.5;24.5;13;37.2404880524;
62;4;20.501739502;22.5;20;28.9396123886;3;21.5;25.5;12;37.4558610916;
63;4;19.625;23.5;20;28.9813876152;3;21.5;26.5;13;37.6481971741;
