Turn;Planet_count_KI_1_SP_EAXAW;Research_KI_1_SP_EAXAW;Industry_KI_1_SP_EAXAW;Ships_KI_1_SP_EAXAW;Population_KI_1_SP_EAXAW;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
47;2;14.5159816742;24.5;4;26.7419531345;2;14.0;37.5999984741;8;38.0;
48;2;15.5225858688;22.5;4;26.7638677359;2;14.0;38.5999984741;10;38.0;
49;2;16.5291595459;22.5;4;26.7856714725;2;15.0;36.5999984741;10;38.0;
50;2;17.5357017517;22.5;4;26.8073554039;2;14.0;37.5999984741;11;38.0;
51;2;18.0;22.5;4;26.8289107084;2;14.0;38.5999984741;12;38.0;
52;2;19.0;22.5;5;26.8503289223;2;16.0;34.5999984741;12;38.0;
53;2;20.0;22.5;5;26.8716015816;2;18.0;32.5999984741;13;38.0;
54;2;21.5614814758;22.5;6;26.8927206993;2;19.9249992371;30.5999984741;12;38.0;
55;2;21.5;23.4463615417;6;26.9136784077;2;20.9249992371;29.5;13;38.0;
56;2;22.0741043091;22.5;6;26.9344670773;2;21.9249992371;28.5;13;38.0;
57;2;21.5;23.4672336578;7;26.9550794363;2;22.5499992371;27.5;13;38.0;
58;2;22.086523056;22.5;7;26.9755084515;3;22.5499992371;26.5;14;38.0;
59;2;21.5;23.4877548218;7;26.9957473278;3;22.5499992371;25.5;15;38.0;
60;2;21.5;23.4978733063;8;27.0;4;22.5499992371;24.5;14;38.0;
61;2;21.5;23.5;8;27.0;4;22.5499992371;23.5;16;38.0;
62;2;21.5;23.5;10;27.0;4;22.5499992371;22.5;16;38.0;
63;2;21.5;23.5;11;27.0;5;22.5499992371;22.5;13;55.25;
64;3;21.5;23.5;10;27.0;5;23.5499992371;23.5;13;56.1124992371;
65;3;21.5;23.5;10;27.0;5;24.5499992371;24.5;14;56.8619041443;
66;3;21.5;23.5;10;27.0;5;24.5499992371;25.5;14;57.5009632111;
67;3;21.5;23.5;10;27.0;5;24.5499992371;26.5;14;58.0370521545;
68;3;21.5;23.5;10;27.0;5;24.5499992371;27.5;13;58.4804611206;
69;3;21.5;23.5;10;27.0;5;24.5499992371;28.5;13;58.8428707123;
70;3;21.5;23.5;11;27.0;5;24.5499992371;29.5;13;59.1361560822;
71;3;21.5;23.5;11;27.0;5;24.5499992371;30.5;14;59.25;
72;3;21.5;23.5;11;27.0;5;24.5499992371;31.5;14;59.25;
73;3;21.5;23.5;11;27.0;5;24.5499992371;32.5;12;59.25;
74;3;21.5;23.5;11;27.0;5;24.5499992371;33.5;12;59.25;
75;3;21.5;23.5;11;28.0;5;24.5499992371;34.5;12;59.25;
76;3;22.5;24.5;12;28.0299999714;5;24.5499992371;35.5;12;59.25;
77;4;23.5;25.5;11;28.0605909824;5;24.5499992371;36.5;11;59.25;
78;4;23.5;26.5;11;29.1023720503;5;24.5499992371;37.5;9;60.046875;
79;4;23.7999992371;27.0;12;29.9253391027;5;24.5499992371;38.5;8;62.0879468918;
80;4;24.0340003967;28.3899993896;12;30.5640047789;5;24.8627510071;40.0;10;63.739944458;
81;4;24.2123565674;30.2820034027;12;31.0542975664;5;25.1168842316;41.3899993896;10;65.0582609177;
82;4;24.3458442688;30.5271492004;12;31.2813059092;5;25.3205318451;42.6872596741;9;66.1001081467;
83;4;24.3999996185;30.6406536102;12;32.328953743;5;25.4822921753;43.9097442627;11;66.5640974045;
84;4;25.3999996185;31.6644763947;13;32.4377402067;5;25.576921463;45.0;12;66.773223877;
