Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
290;22;163.756469727;423.946746826;49;327.07839489;17;133.228607178;354.282348633;41;300.732177734;
291;22;163.974975586;427.686767578;53;327.692792416;17;133.233093262;354.300018311;44;303.880921364;
292;22;167.085922241;431.255737305;54;328.256150723;17;139.468093872;360.300018311;42;304.359999895;
293;22;190.255859375;437.802703857;54;328.675458431;17;138.504089355;359.300018311;44;304.751103878;
294;22;186.290374756;444.326873779;56;328.989713192;17;136.543197632;362.300018311;45;305.173061848;
295;22;184.284347534;448.822296143;60;329.28327322;17;133.997314453;365.299987793;49;305.624876499;
296;22;184.396270752;452.191040039;56;329.562653065;17;130.762481689;368.300018311;48;306.104712963;
297;22;184.50189209;455.54473877;57;329.827728271;17;115.810470581;331.299987793;48;304.207746506;
298;22;184.601257324;458.882751465;59;330.07849741;17;119.480773926;361.349975586;51;306.714099407;
299;22;184.694580078;462.204681396;56;330.315070152;18;122.769241333;360.282348633;47;307.327689648;
300;22;184.781982422;465.510223389;58;330.523498535;18;110.815635681;349.200012207;49;306.961782455;
301;22;184.852340698;468.799377441;53;330.653391838;18;116.73563385;349.200012207;47;308.149197578;
302;22;184.865325928;472.072143555;56;330.37558651;18;127.925125122;358.200012207;48;308.601424694;
303;22;184.557540894;475.328765869;46;330.13023138;18;131.381149292;367.200012207;37;309.011793137;
304;22;184.281021118;478.569519043;45;329.913520336;18;134.709442139;375.299987793;32;309.411437988;
305;22;184.032546997;481.794830322;47;330.314743519;18;134.141143799;372.299987793;34;312.965630531;
306;22;184.283416748;485.005187988;51;330.683245182;18;139.496566772;373.299987793;36;313.98664999;
307;22;184.512893677;485.501098633;49;330.988341331;18;142.598678589;373.299987793;35;315.048979759;
308;22;184.715667725;485.625030518;50;331.136439323;18;127.70489502;339.32598877;35;313.649158001;
309;22;184.834136963;485.625030518;55;331.25;18;131.424911499;379.905944824;37;316.890026093;
310;22;184.924987793;485.625030518;51;331.25;18;143.786834717;378.838317871;38;318.262448311;
311;22;184.924987793;485.625030518;53;331.25;18;128.863800049;353.928497314;42;318.45082283;
312;22;184.924987793;485.625030518;49;331.25;18;131.926757812;350.928497314;30;320.451462269;
313;22;184.924987793;485.625030518;54;331.25;18;144.126815796;359.928497314;31;321.725150108;
314;22;184.924987793;485.625030518;55;331.25;18;148.972503662;368.928466797;32;322.955634117;
315;22;184.924987793;485.625030518;57;331.25;18;152.095550537;377.028503418;34;324.163017273;
316;22;184.924987793;485.625030518;58;331.25;18;154.216293335;380.028503418;33;325.332512856;
317;22;184.924987793;485.625030518;55;331.25;18;154.333236694;383.028503418;18;326.449790955;
318;22;160.225006104;494.625030518;54;331.25;18;136.444992065;342.355834961;20;324.847504616;
319;22;164.225006104;505.625030518;58;331.25;18;136.824752808;385.078491211;24;323.039382935;
320;23;174.525009155;518.625;51;349.25;17;133.429962158;383.443511963;24;303.431206703;
321;23;185.324996948;527.725036621;56;353.079998493;17;123.52872467;358.95300293;25;301.990499496;
322;23;191.708007812;534.538085938;56;353.383014202;17;126.397644043;351.620544434;21;300.69071579;
323;23;197.738311768;535.168701172;51;353.618557453;17;116.062477112;317.178405762;15;299.510663033;
324;23;203.761856079;533.184326172;53;353.793515682;18;112.372840881;304.444213867;16;301.433742523;
325;24;209.77935791;528.65838623;56;353.916292191;18;117.270645142;292.783447266;17;300.927080631;
326;24;215.791625977;531.585021973;57;353.995679379;18;124.155143738;290.334411621;17;300.560830116;
327;25;221.799560547;537.159118652;51;353.902776718;18;132.868850708;287.022277832;16;300.329229832;
328;27;222.690292358;542.075744629;51;353.737500668;17;141.620986938;287.544067383;18;300.226325989;
329;28;253.774505615;513.743286133;55;358.87563324;16;147.879776001;277.108428955;19;294.145218849;
330;28;271.288970947;494.24407959;56;359.466754436;16;156.04637146;274.539367676;20;293.330698013;
331;28;287.973693848;492.348327637;56;363.127096176;16;160.72769165;273.509338379;22;292.59762764;
332;28;300.440246582;499.105987549;47;364.327862263;16;163.440841675;274.448394775;11;291.937868118;
333;28;299.972686768;509.887908936;48;368.637593269;16;166.182723999;274.033569336;10;291.344079018;
334;28;297.945922852;521.691650391;48;373.824245214;16;168.31362915;273.660217285;13;290.809672356;
335;28;290.457641602;535.515014648;50;376.685447693;16;186.343414307;285.324157715;16;290.328704834;
336;29;285.737487793;546.838378906;49;383.599163532;16;189.135940552;297.021789551;16;289.895834923;
337;29;281.67276001;562.432434082;49;390.290493011;16;188.109375;308.749572754;18;289.506252289;
338;29;280.5730896;577.898986816;49;396.900488377;16;185.972991943;320.504608154;25;289.155630112;
339;29;287.151611328;592.039733887;50;403.175560474;16;182.222412109;328.837341309;27;288.840068817;
340;29;293.64654541;602.666687012;50;409.538918972;16;182.046417236;330.69934082;28;288.556065559;
341;29;300.107208252;612.811340332;51;415.956830502;16;181.888015747;330.479431152;27;288.300459862;
342;29;306.542053223;622.769042969;51;425.106507778;16;181.745452881;330.281494141;30;288.070415497;
343;29;315.234741211;629.951599121;53;431.385697603;16;181.617156982;330.10333252;31;287.863375664;
344;29;321.643066406;635.151489258;53;437.307366371;16;181.501693726;329.942993164;33;287.677034378;
345;29;327.988647461;638.153564453;53;442.724843979;16;181.39781189;329.798706055;34;287.509332657;
346;29;334.223907471;640.943664551;54;447.635290146;16;181.304244995;329.668823242;35;287.358402252;
347;29;334.456115723;646.512451172;54;452.034865856;16;181.220092773;329.551940918;37;287.222561836;
348;29;335.684844971;651.855163574;55;459.995779037;16;181.144348145;329.446746826;39;287.100304604;
349;29;343.426605225;661.140197754;54;467.229112625;16;181.076141357;329.352081299;38;286.990273476;
350;29;354.740966797;663.825805664;52;473.752276421;16;172.069885254;371.405273438;33;286.891242981;
351;29;365.904418945;668.882324219;52;479.43985939;16;172.061035156;323.261047363;32;286.80211544;
352;29;376.911834717;676.50189209;44;484.598980904;16;163.055969238;362.304199219;16;286.721903801;
353;29;385.321166992;683.663391113;45;489.284745216;16;157.717575073;384.304168701;21;286.649717331;
354;29;390.583679199;690.364318848;45;493.34869957;16;148.713470459;303.155914307;23;286.584744453;
355;29;366.974334717;738.085632324;44;496.896811485;16;157.705062866;312.127624512;15;286.52627182;
356;29;348.15625;774.326477051;45;500.023066521;16;166.700820923;298.475128174;19;286.47364521;
357;29;341.04699707;797.451782227;44;502.746232033;16;175.697036743;310.679260254;7;286.42628479;
358;29;342.203826904;818.948181152;44;505.027336121;16;180.700241089;316.658630371;8;286.383654594;
359;31;349.880554199;836.893493652;39;552.687260628;14;140.34614563;287.392211914;6;240.297399521;
