Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
69;6;28.1749992371;45.0;16;79.5;8;41.1706848145;58.1201934814;15;43.1819756031;
70;6;30.1749992371;43.0;16;79.5;8;41.2429618835;58.2780075073;16;43.7374292612;
71;6;30.1749992371;44.0;16;79.5;9;41.3144989014;58.4393386841;16;44.2998436689;
72;6;31.1749992371;45.0;17;79.5;9;41.3851394653;57.6883163452;17;44.8680531979;
73;6;33.1749992371;43.0;17;79.5;9;41.4547157288;58.7713356018;18;45.440816164;
74;6;33.1749992371;44.0;17;79.5;9;41.5230865479;58.9412841797;18;46.0168244839;
75;6;34.1749992371;45.0;18;80.5;9;41.5901145935;59.1133346558;19;46.5947182178;
76;6;37.1749992371;44.0;18;80.5399999619;9;41.6556777954;59.2870445251;18;47.1701722145;
77;6;38.1749992371;46.0;18;80.5811839104;9;41.7196617126;59.4604873657;19;47.7077047825;
78;6;39.1749992371;48.0;18;80.6235535145;9;41.7819633484;59.616153717;20;48.2440881729;
79;8;41.1749992371;47.0;17;80.6671074629;8;41.8424987793;60.2936592102;20;48.7778971195;
80;8;41.1749992371;49.0;14;80.711841464;8;39.8424987793;61.4337234497;23;49.3077278137;
81;8;42.1749992371;50.6059188843;11;83.9144835472;9;38.8424987793;62.5721282959;21;49.8322172165;
82;8;43.2526245117;51.0;14;85.9770845175;10;39.8424987793;60.7083511353;24;50.3500576019;
83;7;44.322353363;52.6776428223;14;87.0078569651;11;40.8424987793;60.841884613;21;50.8600099087;
84;7;45.3847579956;53.7158966064;14;87.4496417046;11;38.8424987793;62.9722709656;21;51.3609161377;
85;7;46.9000015259;51.7557601929;13;87.5944753885;11;38.7999992371;65.0990905762;21;51.8517093658;
86;7;45.9000015259;52.0;14;87.6806651354;12;39.7999992371;63.5901412964;21;52.3314216137;
87;7;45.9000015259;53.8403320312;15;87.7700653076;12;38.7999992371;64.7944335938;23;54.3488070965;
88;8;45.2982673645;52.0;14;87.8626385927;12;39.7999992371;64.6447906494;23;56.4271845818;
89;8;44.9000015259;52.0;14;87.9583290815;12;40.7999992371;65.5254058838;24;58.549249649;
90;8;44.9000015259;53.0;15;88.0570616722;12;39.7999992371;68.4284820557;24;61.6958503723;
91;8;44.9000015259;54.0;15;88.1587409973;12;40.7999992371;71.3452301025;24;63.9067182541;
92;8;44.9000015259;55.0;15;88.2632513046;12;41.7999992371;72.1251373291;24;68.1042737961;
93;8;44.2999992371;56.0;16;88.3704557419;12;42.7999992371;77.9008636475;25;71.4886407852;
94;8;43.2999992371;57.0;16;88.4801969528;12;45.7999992371;84.6636505127;26;76.2539125681;
95;8;42.2999992371;58.0;16;89.5922970772;13;48.7999992371;90.2176971436;26;80.150939703;
96;8;42.2999992371;59.2961502075;16;89.8265577555;13;50.473777771;95.8042755127;28;84.061968565;
97;8;42.2999992371;60.3532791138;16;90.0758183002;13;50.1871528625;104.415740967;23;87.9273201227;
98;8;41.8638763428;61.4113807678;14;90.3409276009;13;52.2682037354;106.042678833;24;91.6944788694;
99;8;40.9301147461;62.4703369141;16;90.6227248907;13;50.3530006409;112.67440033;27;95.322855711;
100;9;40.0032043457;63.5300216675;15;90.9220178127;13;52.4415969849;112.299575806;27;98.786123991;
101;9;39.0836334229;63.5903053284;15;91.2395555973;13;53.534034729;112.124794006;27;103.071986675;
102;9;38.1718597412;63.6510467529;16;91.5759963989;13;56.6303443909;113.768432617;34;106.240000844;
103;9;37.2683105469;63.7121009827;16;91.9318702221;13;60.7305297852;113.834686279;33;109.241311193;
104;9;35.2999992371;64.7733230591;17;92.3075349331;13;61.8345870972;116.903091431;33;112.089420915;
105;9;34.2999992371;65.834564209;17;92.7031304836;14;63.288646698;119.328460693;33;114.800079465;
106;9;33.2999992371;66.8956680298;17;93.1185295582;14;65.4766845703;118.627876282;37;117.255499721;
107;9;32.2999992371;67.9564971924;18;93.5532896519;14;65.8448944092;119.942703247;38;117.523308635;
108;9;31.2999992371;68.8236465454;18;94.0066072941;14;65.9832000732;120.102706909;38;117.891916037;
109;9;31.2999992371;69.9074020386;19;94.4772810936;14;68.1057739258;118.263420105;39;118.373128295;
110;9;31.2999992371;70.9901657104;19;94.9636845589;14;67.2317047119;119.424514771;39;118.852602959;
111;9;31.2999992371;72.0717468262;19;95.463757515;14;73.737159729;117.585670471;41;120.389741778;
112;9;31.8999996185;73.1519699097;20;95.9750137329;14;80.4971313477;117.746559143;43;120.983598828;
