Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
33;3;26.2119998932;17.5200004578;5;45.424243331;2;19.1577949524;13.5;6;27.2542052269;
34;3;26.2119998932;17.0200004578;5;45.9437150955;2;19.5;13.5;6;27.3161010742;
35;3;26.2119998932;17.0200004578;5;46.4365102053;2;18.1948299408;13.5;6;27.3782629967;
36;3;26.2119998932;17.0200004578;5;46.9006432295;2;17.2134780884;14.5;7;27.4406147003;
37;3;26.2119998932;20.0200004578;5;47.335047245;2;16.2321853638;15.5;8;27.5030794144;
38;3;26.2119998932;23.0200004578;5;47.7395014763;2;15.2509241104;16.5;9;27.5655794144;
39;3;26.2119998932;26.0200004578;6;48.1145149469;2;14.7696743011;17.5;9;27.628036499;
40;3;26.2119998932;29.0200004578;6;48.4611922503;2;15.0;16.5;10;27.690372467;
41;3;26.2119998932;32.0200004578;7;48.781090498;2;16.8071117401;14.5;11;27.7525100708;
42;3;26.2119998932;32.0200004578;7;49.0760829449;2;17.0;14.5;12;27.8143725395;
43;3;26.2119998932;32.0200004578;7;49.3482356071;2;18.0;13.9071865082;12;27.8758842945;
44;3;26.2119998932;32.0200004578;8;49.5997004509;2;19.8627662659;12.5;12;27.936971426;
45;3;26.2119998932;32.0200004578;9;49.7568329573;2;20.8810920715;14.5;13;27.9975619316;
46;3;26.2119998932;32.0200004578;9;49.8450679779;2;21.899269104;16.5;14;28.0575861931;
47;4;26.2119998932;32.0200004578;8;49.9355955124;3;22.4172763824;18.5;10;45.3669772148;
48;4;26.2119998932;32.0200004578;7;50.0283131599;3;23.435092926;21.5;10;46.2881698608;
49;4;26.2119998932;32.0200004578;7;50.1231040955;3;24.4527015686;24.5;11;47.0955095291;
50;4;27.8969306946;32.0200004578;8;50.2198367119;3;24.4700813293;25.5;11;47.7916867733;
51;4;28.925951004;32.0200004578;8;50.3183658123;3;24.4872169495;26.5;11;48.3840231895;
52;4;30.2119998932;34.0200004578;7;51.4185323715;3;24.5040912628;27.5;11;48.8827586174;
53;4;32.2119979858;35.3092651367;8;51.5569645166;3;24.5206890106;28.5;11;49.2995266914;
54;4;33.156047821;35.0200004578;9;51.6976510286;4;24.5369968414;29.5;10;49.6461601257;
55;4;33.186920166;36.0200004578;9;51.8403954506;4;24.5530014038;30.5;10;49.8123030663;
56;4;32.3519973755;38.0200004578;9;51.9849892855;4;24.5686912537;31.5;10;49.8635182381;
57;4;32.3519973755;39.3231010437;10;52.1312139034;4;24.5840549469;32.5;10;49.9136190414;
58;5;32.3519973755;39.4043426514;9;52.2788417339;4;24.5990867615;33.5;11;49.9625790119;
59;5;32.3519973755;39.4864845276;11;54.0836492777;4;24.6137733459;34.5;11;50.0103754997;
60;5;33.8154602051;38.5703620911;12;55.4601569176;4;24.628112793;35.5;11;50.0569901466;
61;5;34.2275047302;39.0558700562;13;56.5190725327;4;24.6420974731;36.5;11;50.1024079323;
62;5;34.5240325928;39.3955307007;13;57.0007227659;4;24.6557216644;37.5;11;50.1466178894;
63;5;33.4433555603;40.4584617615;13;57.3299371004;4;24.6689853668;38.5;11;50.1896123886;
64;5;34.4560012817;39.51146698;14;57.6218004227;4;24.6818847656;39.5;11;51.2313876152;
65;5;34.7867050171;38.4000015259;14;57.9175504446;5;26.6944160461;42.5;11;52.2899999619;
66;5;33.4560012817;39.4000015259;14;57.8243333101;5;28.7000007629;45.5;12;52.3811838627;
67;5;34.3484802246;38.2719993591;15;57.7674421072;5;28.9432678223;48.5;12;52.4755284786;
68;5;34.7595367432;38.1567993164;15;57.7425317764;5;28.9528007507;51.5;13;52.5730574131;
69;5;33.1646194458;39.0531196594;16;57.745631218;5;28.962600708;54.5;13;52.6737861633;
70;5;31.1086330414;40.9598083496;17;57.7731189728;5;28.9726657867;55.5;14;54.7309523821;
71;5;32.0582427979;40.6615943909;18;57.8217003345;5;29.3244457245;57.0;17;56.4272936583;
72;5;31.9975547791;39.6615943909;18;57.8883852959;5;29.6105365753;58.3899993896;17;57.8143815994;
73;5;31.7560367584;39.8758277893;16;57.9704639912;5;29.8412189484;59.5856781006;15;58.9471973181;
