Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
97;8;53.025390625;67.0999984741;17;82.5292403698;9;43.3581962585;87.8073577881;20;119.523743153;
98;9;54.0471076965;69.0999984741;15;85.0877022743;8;44.3523788452;88.7666244507;20;119.471368849;
99;9;54.9813613892;70.0999984741;11;87.3874135017;8;45.3471412659;90.7299575806;18;119.424231976;
100;9;53.4008827209;68.8811798096;11;88.911744833;8;45.3424263;92.6969604492;18;119.381808788;
101;9;52.7714576721;68.6030578613;11;90.3183970451;8;46.3381843567;91.6672668457;18;119.3436279;
102;9;53.0939102173;69.3527526855;11;91.6107473373;9;46.3343658447;91.6405410767;17;119.309265107;
103;9;52.3707695007;68.1274795532;11;92.7959566116;9;48.3343658447;93.6405410767;17;119.38995716;
104;9;51.6057167053;67.9247283936;11;95.7919478416;9;51.3390007019;92.6825408936;17;119.472529501;
105;9;53.8030891418;70.7422561646;11;96.814874649;9;51.3472557068;94.724937439;19;119.556988478;
106;9;55.9674797058;73.5780334473;11;97.8820939064;9;52.3557014465;96.7676773071;19;119.643341482;
107;9;56.0906829834;76.430229187;10;98.5664381981;9;54.3643379211;95.8107147217;19;119.731595844;
108;9;55.2000007629;79.2972106934;10;99.2744119167;9;54.3731613159;96.9121170044;21;119.821760237;
109;9;54.2000007629;82.1774902344;10;100.002006054;9;55.3821754456;97.9752349854;22;120.913844436;
110;9;53.2000007629;83.069732666;11;100.745424986;9;58.3913879395;97.0396881104;23;121.187859178;
111;9;52.2000007629;83.9727630615;11;101.501130342;9;59.4007873535;99.105506897;23;121.494092822;
112;9;51.2000007629;84.8854827881;10;102.265880108;9;61.4103851318;101.172668457;25;121.836831033;
113;9;50.2000007629;85.8069381714;12;103.036748409;10;64.420173645;100.241210938;27;122.220651031;
114;9;49.2000007629;86.7362442017;13;104.811142445;11;64.4301605225;102.311134338;25;122.650315821;
115;9;50.2000007629;86.6726226807;12;105.67678535;11;64.6650390625;104.38243866;24;123.130612791;
