Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
101;9;28.5999984741;78.8164825439;18;78.7041809559;9;31.4858074188;61.9150238037;28;90.3925629854;
102;9;29.5999984741;78.9486923218;18;80.6076078415;9;31.3871116638;62.7680854797;28;91.6296583414;
103;9;31.0;83.083732605;19;82.5382647514;9;31.3728809357;63.6247940063;30;92.8699694872;
104;9;33.0;84.2211532593;20;83.4931200743;9;32.3600730896;61.4846153259;30;94.1147875786;
105;9;33.0;89.3604736328;20;84.4110783339;9;31.3485450745;63.4194755554;30;95.364091754;
106;9;34.0;91.5011520386;20;85.2899551392;9;31.3381710052;66.3622665405;30;98.6157128811;
107;9;34.0;92.6426544189;20;86.1291828156;9;33.3288345337;66.3121871948;30;99.0516264439;
108;9;33.0;96.7844009399;22;86.9295363426;9;34.3204307556;70.3189163208;31;100.214791894;
109;9;34.0;97.9258270264;23;87.6928162575;9;35.7302513123;74.1700973511;31;101.372147322;
110;9;34.0;99.0663604736;24;88.4215344191;9;36.6876220703;75.0374603271;31;102.427533031;
111;9;34.0;103.205436707;27;89.1186287403;9;35.6509056091;78.8162994385;33;103.369495511;
112;9;36.0;105.342521667;28;89.7872190475;10;35.6195411682;81.7242431641;32;104.296350837;
113;9;38.0;104.477104187;28;90.3891499043;10;35.0630187988;85.6438751221;33;105.19257021;
114;9;37.0;108.890510559;29;90.8561397791;11;36.0259017944;86.5711364746;32;106.045551419;
115;9;39.0;109.366752625;29;91.326883316;11;36.9924926758;88.5052719116;32;106.846094131;
116;9;40.5999984741;106.625785828;31;91.800634861;11;37.9624252319;90.445602417;33;107.588512897;
117;9;38.5999984741;109.884910583;31;92.2766644955;11;38.9353713989;92.2122650146;33;108.270381808;
118;9;39.5999984741;110.143707275;33;92.754257679;11;39.9110183716;93.1864013672;34;109.89205265;
119;9;40.5999984741;107.401786804;33;93.232714653;12;41.8890991211;95.1654205322;34;110.486027598;
120;9;38.5999984741;110.658782959;34;93.7113497257;13;43.8693733215;97.1488876343;33;111.026888609;
121;9;39.5999984741;110.914337158;35;94.1894879341;13;44.627571106;99.1363830566;33;111.519509673;
122;9;40.5999984741;108.168128967;35;94.6664638519;13;46.6998023987;102.157119751;35;111.969149232;
123;9;38.5999984741;111.41985321;36;95.1416194439;14;48.5239944458;105.222930908;35;112.344783545;
124;9;39.5999984741;111.6692276;36;95.6143000126;14;49.5480117798;108.227081299;35;112.550203085;
125;9;40.5999984741;108.915969849;39;96.0838558674;14;49.5958938599;109.24887085;35;112.757506251;
126;9;38.5999984741;112.159820557;39;96.5496394634;14;47.8966217041;113.270965576;37;113.531299114;
127;9;39.5999984741;112.400512695;39;97.0110065937;14;48.9711914062;114.340988159;37;114.336875677;
128;9;40.5999984741;109.637817383;40;97.4673163891;14;48.0488891602;118.337127686;38;115.172097325;
129;9;38.5999984741;112.871482849;42;97.8837087154;14;48.1295433044;121.451721191;38;116.0346632;
130;9;39.5999984741;113.077316284;43;98.2504184246;14;49.2129364014;121.572692871;40;117.922130346;
131;9;40.5999984741;110.248710632;43;98.6157433987;14;49.2988395691;125.700164795;42;119.864125729;
132;9;41.5999984741;111.419654846;44;98.9787986279;14;51.3870277405;130.834197998;42;120.842594743;
133;9;43.5999984741;112.589744568;44;99.3387184143;14;53.5731124878;133.998184204;42;121.838786364;
134;9;45.5999984741;112.724884033;45;99.6946635246;14;53.762550354;137.169235229;43;122.449877381;
135;9;47.5999984741;111.892051697;46;100.04583025;14;54.8219604492;141.347106934;44;123.112986088;
136;9;49.5999984741;111.057167053;47;100.391456127;14;53.922542572;144.531494141;44;123.821188092;
137;9;51.5999984741;110.219863892;47;100.730826855;14;55.0188522339;148.722000122;45;124.567912102;
138;9;53.5999984741;109.379806519;47;101.063281536;14;56.1199684143;152.918136597;46;125.346919894;
139;9;55.5999984741;108.53666687;48;101.388217449;14;57.2215232849;156.485961914;46;126.152261138;
140;9;57.5999984741;107.6901474;48;101.705093861;14;59.3240013123;156.964355469;47;126.978275657;
141;9;59.5999984741;107.639732361;50;102.013433456;14;58.426235199;160.068405151;48;127.819559216;
