Turn;Planet_count_KI_1_SP_ETTY;Research_KI_1_SP_ETTY;Industry_KI_1_SP_ETTY;Ships_KI_1_SP_ETTY;Population_KI_1_SP_ETTY;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
95;7;34.2323074341;74.0973205566;28;60.671069622;6;26.49193573;61.5088996887;23;46.3984559774;
96;7;35.0499305725;74.2785644531;29;61.1400156021;6;26.4962520599;62.53881073;23;46.4726321399;
97;7;35.1098442078;74.455329895;30;61.5496854782;6;27.5007553101;60.5683898926;24;46.5467419922;
98;7;35.1543083191;74.6271514893;32;61.9162650108;6;26.3999996185;61.7733688354;25;46.6207487285;
99;7;35.1883506775;74.7936172485;32;62.1993551254;6;26.3999996185;62.8103752136;25;46.6946199834;
100;7;35.2000007629;74.9543914795;32;62.4343652725;6;27.5154685974;60.6548614502;26;46.7683268487;
101;7;35.2000007629;75.109161377;33;62.6322054863;6;26.5207977295;61.6828346252;26;46.8418447673;
102;7;35.2000007629;75.2425384521;34;62.7892422676;6;26.5263519287;62.7103347778;26;46.9151529968;
103;8;35.2000007629;75.3524703979;33;62.9393358231;6;27.3999996185;60.9575805664;26;46.9882355332;
104;9;35.2000007629;75.45753479;33;63.0823321342;6;26.3999996185;62.7917633057;29;47.0610798299;
105;9;35.2000007629;75.5576324463;33;63.2181477547;6;26.3999996185;63.8427581787;29;47.1336781383;
106;9;35.2000007629;75.6527023315;34;63.3467645645;6;26.5509605408;64.5413360596;29;47.2060263157;
107;9;35.2000007629;75.7427368164;34;63.4682240486;6;26.3999996185;65.9442214966;30;47.278124094;
108;9;35.2000007629;75.8277587891;34;63.5826206207;6;26.3999996185;66.994682312;31;47.3499751091;
109;9;35.2000007629;75.9078369141;35;64.6900949478;6;27.3999996185;65.0449829102;31;47.4215866327;
110;9;36.2000007629;76.9830627441;35;65.890827775;6;26.5797595978;65.6756744385;32;47.4929692149;
111;10;38.2000007629;79.0535736084;34;66.1939321756;6;26.3999996185;67.145072937;33;47.5641366243;
