Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
114;8;26.75;83.2096252441;16;57.9161207676;11;40.5064926147;79.4000015259;25;63.509562254;
115;8;28.75;80.7676315308;16;58.9728732109;11;40.5761566162;79.4420013428;25;63.8995745182;
116;8;27.9400634766;82.3298034668;17;60.0500276089;11;40.6502799988;79.4843902588;25;64.3090970516;
117;8;28.0633010864;83.8921051025;17;61.1419551373;11;39.7286834717;78.5271377563;25;64.7367944717;
118;8;27.75;83.4505004883;18;63.2428052425;11;36.8000030518;81.5701751709;26;66.1808815002;
119;8;27.75;86.9408950806;18;64.4266022444;11;37.2000007629;85.6134643555;26;67.6916248798;
120;8;28.75;89.6634368896;19;65.612880826;11;40.2000007629;87.6569519043;26;69.2760734558;
121;8;30.2744903564;89.3810272217;19;66.7959434986;11;42.2000007629;93.6762084961;26;69.9341959953;
122;8;30.3155822754;89.8860778809;20;67.9702318907;11;44.2000007629;99.0109634399;28;70.6057246923;
123;8;31.3593769073;92.0521392822;21;69.1304013729;11;46.2000007629;101.349311829;28;71.287274003;
124;8;29.75;92.314163208;21;70.2713917494;11;45.2000007629;106.688796997;29;71.9753359556;
125;8;28.75;94.8095703125;23;71.3884938955;11;45.2000007629;112.026855469;29;72.6663948298;
126;8;29.75;94.2819519043;25;72.477412343;11;46.2000007629;114.360954285;23;73.3570433855;
127;8;30.5633182526;92.736541748;25;73.5343157053;11;45.2000007629;119.688690186;23;74.0440918207;
128;8;29.6218185425;95.0897216797;24;74.5558855534;11;45.2000007629;125.007774353;25;74.7246602774;
129;8;29.683391571;97.4153366089;24;75.5393562317;11;46.2000007629;127.316207886;22;75.3962510824;
130;9;31.7480354309;93.7139129639;25;94.4391040802;10;27.0;127.61227417;22;58.0567970276;
131;9;27.75;98.9558868408;25;95.225199461;10;27.0;131.489654541;23;58.7046816349;
132;9;27.75;103.511489868;25;95.9813091755;10;28.0;131.208679199;25;59.3387341499;
133;9;28.75;104.753379822;26;96.7057700157;10;27.0;133.701477051;25;59.9582016468;
134;9;27.75;108.984580994;28;97.3975155354;10;27.0;136.185287476;25;60.5627086163;
135;9;28.75;110.205619812;25;98.0560305119;10;28.0;135.65977478;18;61.1521985531;
