Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
47;5;40.349067688;25.625;10;45.4165582657;5;23.9777736664;33.1604194641;13;45.5820025206;
48;5;40.3999328613;25.625;11;45.4983677864;5;26.3901996613;35.5;14;48.0983803272;
49;5;40.4490203857;25.625;11;45.5771789551;5;26.370765686;37.5;16;50.3433986902;
50;5;40.496307373;25.625;11;47.0331678391;5;27.4915485382;39.5;16;52.345885396;
51;5;41.2844009399;26.0234375;11;48.2455692291;5;29.6016540527;41.5;17;54.1411715746;
52;5;41.9405059814;26.3489723206;11;49.2422852516;5;31.0695705414;41.5;19;55.763531208;
53;5;42.4797706604;26.6102333069;11;51.0539183617;5;32.2126960754;39.5;19;56.9775781631;
54;5;43.9188461304;27.8168411255;12;51.7408212423;5;32.4640922546;39.5;20;58.1195361614;
55;5;45.2674942017;28.9782962799;12;51.9031420946;6;32.6981887817;39.5;18;74.2183949947;
56;5;45.3369522095;30.0;12;52.0203282833;6;33.9215126038;40.5;18;75.980672121;
57;5;45.3783950806;31.0;13;52.1358468533;6;35.1242675781;41.5;18;77.4918003082;
58;5;45.4178886414;32.0;14;52.2406382561;6;36.2875823975;42.5;19;78.8876006603;
59;5;45.4500007629;32.6203193665;14;52.2934814692;6;37.4422073364;43.5;19;80.1653280258;
60;5;43.4500007629;34.6203193665;15;52.347892046;7;38.5869827271;44.5;15;86.3266012669;
61;6;42.4500007629;36.6203193665;14;52.4038579464;7;40.7211761475;45.5;16;87.5264463425;
62;6;41.4500007629;38.6203193665;14;52.4613620043;7;42.2902107239;47.5;19;88.6190724373;
63;6;40.4500007629;40.6203193665;14;52.520381093;7;42.5449829102;48.5;19;89.6130306721;
64;7;39.4500007629;42.6203193665;14;52.5808864832;7;43.7619438171;49.5;20;90.4238994122;
65;7;38.4500007629;43.7904434204;14;52.6428432465;7;42.524471283;50.5;21;91.0755345821;
66;7;37.4500007629;44.8214225769;14;52.7062102556;7;41.6476898193;51.5;24;91.6881592274;
67;7;36.4500007629;45.8531036377;14;52.7709403038;8;40.761138916;52.5;23;94.8827226162;
68;7;35.4500007629;46.885471344;15;52.8369797468;8;39.5410995483;53.5;24;97.5512986183;
69;7;34.4500007629;47.9184875488;15;52.9042687416;8;40.0981826782;54.5;24;99.7747421265;
